filing title,page-break-after,page-break-before,PAGE-BREAK-AFTER,PAGE-BREAK-BEFORE
10-K - COMSTOCK RESOURCES INC (0000023194) (Filer),111,0,0,0
10-K - DAVITA HEALTHCARE PARTNERS INC. (0000927066) (Filer),167,0,0,0
10-K - WABASH NATIONAL CORP /DE (0000879526) (Filer),0,91,0,0
10-K - REDWOOD TRUST INC (0000930236) (Filer),215,0,0,0
10-K - TILE SHOP HOLDINGS, INC. (0001552800) (Filer),0,0,80,0
10-K - AG Mortgage Investment Trust, Inc. (0001514281) (Filer),0,139,0,0
10-K - INTEGRA LIFESCIENCES HOLDINGS CORP (0000917520) (Filer),117,0,0,0
10-K - Ophthotech Corp. (0001410939) (Filer),0,245,0,0
10-K - AMEREN CORP (0001002910) (Filer),176,0,0,0
10-K - UNION ELECTRIC CO (0000100826) (Filer),176,0,0,0
10-K - Ameren Illinois Co (0000018654) (Filer),176,0,0,0
10-K - SKYWEST INC (0000793733) (Filer),118,0,0,0
10-K - WILLIAMS PARTNERS L.P. (0001483096) (Filer),189,0,0,0
10-K - Andina Acquisition Corp. II (0001652101) (Filer),0,66,0,0
10-K - NCR CORP (0000070866) (Filer),128,0,0,0
10-K - Alon USA Partners, LP (0001556766) (Filer),86,0,0,0
10-K - GENERAC HOLDINGS INC. (0001474735) (Filer),0,0,73,0
10-K - MERCADOLIBRE INC (0001099590) (Filer),155,0,0,0
10-K - ROWAN COMPANIES PLC (0000085408) (Filer),85,0,0,0
10-K - NCI, Inc. (0001334478) (Filer),0,56,0,0
10-K - SPX CORP (0000088205) (Filer),147,0,0,0
10-K - EXPONENT INC (0000851520) (Filer),0,62,0,0
10-K - New Home Co Inc. (0001574596) (Filer),152,0,0,0
10-K - WEST PHARMACEUTICAL SERVICES INC (0000105770) (Filer),86,0,0,0
10-K - Chubb Ltd (0000896159) (Filer),234,0,0,0
10-K - SINCLAIR BROADCAST GROUP INC (0000912752) (Filer),112,0,0,0
10-K - ARCH CAPITAL GROUP LTD. (0000947484) (Filer),221,0,0,0
10-K - CME GROUP INC. (0001156375) (Filer),111,0,0,0
10-K - RADIAN GROUP INC (0000890926) (Filer),225,0,0,0
10-K - EAST WEST BANCORP INC (0001069157) (Filer),136,0,0,0
10-K - FORTINET INC (0001262039) (Filer),150,0,0,0
10-K - AMERICAN TOWER CORP /MA/ (0001053507) (Filer),160,145,0,0
10-K - Western Refining Logistics, LP (0001581908) (Filer),121,0,0,0
10-K - FREEPORT-MCMORAN INC (0000831259) (Filer),514,0,0,0
10-K - SVB FINANCIAL GROUP (0000719739) (Filer),204,0,0,0
10-K - SYNTEL INC (0001040426) (Filer),0,151,0,0
10-K - OvaScience, Inc. (0001544227) (Filer),97,0,0,0
10-K - Zendesk, Inc. (0001463172) (Filer),176,0,0,0
10-K - Triumph Bancorp, Inc. (0001539638) (Filer),133,0,0,0
10-K - Cornerstone OnDemand Inc (0001401680) (Filer),102,0,0,0
10-K - WILLIAMS COMPANIES INC (0000107263) (Filer),236,0,0,0
10-K - Alon USA Energy, Inc. (0001325955) (Filer),113,0,0,0
10-K - SONIC AUTOMOTIVE INC (0001043509) (Filer),126,0,0,0
10-K - Interval Leisure Group, Inc. (0001434620) (Filer),0,180,0,0
10-K - RPX Corp (0001509432) (Filer),74,0,0,0
10-K - Northern Tier Energy LP (0001533454) (Filer),166,0,0,0
10-K - HeartWare International, Inc. (0001389072) (Filer),0,124,0,0
10-K - WADDELL & REED FINANCIAL INC (0001052100) (Filer),0,144,0,0
10-K - AEROHIVE NETWORKS, INC (0001372414) (Filer),163,0,0,0
10-K - STEWART INFORMATION SERVICES CORP (0000094344) (Filer),74,0,0,0
10-K - DUN & BRADSTREET CORP/NW (0001115222) (Filer),253,0,0,0
10-K - FS Energy & Power Fund II (0001599750) (Filer),0,118,0,0
10-K - PUBLIC SERVICE CO OF NEW HAMPSHIRE (0000315256) (Filer),0,193,0,329
10-K - WESTERN MASSACHUSETTS ELECTRIC CO (0000106170) (Filer),0,193,0,329
10-K - EVERSOURCE ENERGY (0000072741) (Filer),0,193,0,329
10-K - CONNECTICUT LIGHT & POWER CO (0000023426) (Filer),0,193,0,329
10-K - NSTAR ELECTRIC CO (0000013372) (Filer),0,193,0,329
10-K - Retrophin, Inc. (0001438533) (Filer),92,0,0,0
10-K - SCHWEITZER MAUDUIT INTERNATIONAL INC (0001000623) (Filer),149,0,0,0
10-K - LITHIA MOTORS INC (0001023128) (Filer),0,0,128,0
10-K - BankUnited, Inc. (0001504008) (Filer),234,0,0,0
10-K - LAS VEGAS SANDS CORP (0001300514) (Filer),158,0,0,0
10-K - Semler Scientific, Inc. (0001554859) (Filer),0,87,0,0
10-K - POWER SOLUTIONS INTERNATIONAL, INC. (0001137091) (Filer),0,128,0,0
10-K - CardioGenics Holdings Inc. (0001089029) (Filer),0,71,0,0
10-K - NABORS INDUSTRIES LTD (0001163739) (Filer),0,117,0,0
10-K - GREENHILL & CO INC (0001282977) (Filer),104,0,0,0
10-K - KKR & Co. L.P. (0001404912) (Filer),296,0,0,0
